zona,SUM de PrecioActual,,habitaciones,COUNTA de titulo,,,COUNTA de titulo,zona,,,,,,,,,,,,,,,,,,,,
arganzuela,€182.141.969,,1,"14,44%",,,provincia,arganzuela,barajas,barrio-de-salamanca,carabanchel,centro,chamartin,chamberi,ciudad-lineal,fuencarral,hortaleza,latina,moncloa,moratalaz,puente-de-vallecas,retiro,san-blas,tetuan,usera,vicalvaro,villa-de-vallecas,villaverde
,,,,"Ático en calle de Claudio Coello, Recoletos, Madrid",€3.900.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Cyesa, Ventas, Madrid",€450.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Don Ramón de la Cruz, Goya, Madrid",€6.887.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Don Ramón de la Cruz, Lista, Madrid",€4.950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Dulce Chacón, 33, Virgen del Cortijo - Manoteras, Madrid",€1.450.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Dulce Chacón, Virgen del Cortijo - Manoteras, Madrid",€1.395.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Elvira, Fuente del Berro, Madrid",€345.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Enrique de Aldama, 1, Peñagrande, Madrid",€1.225.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Ercilla, Acacias, Madrid",€900.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Evangelina Sobredo Galanes, Valdemarín, Madrid",€608.090,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Federica Montseny, 14, Arroyo del Fresno, Madrid",€1.225.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Fernán González, Ibiza, Madrid",€1.299.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Fernando el Católico, Arapiles, Madrid",€850.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Fernando el Católico, Gaztambide, Madrid",€360.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Fortuny, Almagro, Madrid",€6.400.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Francisco Navacerrada, Guindalera, Madrid",€439.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Francisco Remiro, 11, Guindalera, Madrid",€630.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Francisco Remiro, Guindalera, Madrid",€630.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Francisco Silvela, Lista, Madrid",€1.750.000,,,,,,,,,,,,,,,,,,,,,,,
